COUNTY,ROUTE,SEGMENT,DATA_YEAR,TOTAL_CRASH,FATAL,FATAL_MAJ,INJURY,FATAL_INJ,PDO,LENGTH_MI_YR,LENGTH_FT_YR,AADT,BEG_MP,END_MP,TravelWayWidth,LANES,SPEED,LeftShldPave,RtshldPave,COUNTY_NAME,RHR,PASS_ZONE,CL_RS,SH_RS,ACCESS_PTS,NO_INTS,NO_CURVES,AVG_D,AccessDensity
3,28,390,2008,0,0,0,0,0,0,0.373106061,1970,5795,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2009,0,0,0,0,0,0,0.373106061,1970,5795,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2010,0,0,0,0,0,0,0.373106061,1970,5795,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2011,0,0,0,0,0,0,0.373106061,1970,5795,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2012,0,0,0,0,0,0,0.373106061,1970,5795,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,400,2005,0,0,0,0,0,0,0.396590909,2094,5673,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2006,0,0,0,0,0,0,0.396590909,2094,5758,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2007,2,0,0,0,0,2,0.396590909,2094,7315,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2008,2,0,0,0,0,2,0.396590909,2094,7315,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2009,1,0,0,1,1,0,0.396590909,2094,7348,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2010,2,0,0,1,1,1,0.396590909,2094,7348,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2011,2,0,0,1,1,1,0.396590909,2094,7348,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,400,2012,2,0,0,1,1,1,0.396590909,2094,7348,17.58484848,17.98143939,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,1,1,3,4.520997949,2.521489971
3,28,404,2005,1,0,0,1,1,0,0.391287879,2066,5673,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
